Id,QtdProduto,ValorTotalConsumo,ValorProduto,PrecoCompraProduto,Tipo,DataConsumacao,Hospedagem_Id,Movimentacao_Id,Produto_Id
1,3,9.0,3.0,1.0,1,2031-03-31,2309,10001,14
2,1,3.0,3.0,1.0,1,2031-09-06,311,10002,5
3,1,7.5,7.5,3.0,1,2031-01-27,4141,10003,11
4,1,6.0,6.0,2.0,1,2032-11-22,9735,10004,8
5,3,16.5,5.5,2.0,1,2032-03-05,3654,10005,39
6,3,15.0,5.0,2.0,1,2031-06-11,8647,10006,7
7,3,19.5,6.5,2.5,1,2031-06-20,8730,10007,34
8,2,4.0,2.0,0.5,1,2031-02-15,6654,10008,38
9,3,19.5,6.5,2.5,1,2032-02-08,4440,10009,34
10,1,3.0,3.0,1.0,1,2031-05-09,7019,10010,14
11,1,2.5,2.5,1.0,1,2031-04-10,9011,10011,16
12,1,6.5,6.5,2.5,1,2032-12-08,3089,10012,27
13,3,18.0,6.0,2.0,1,2030-12-09,1320,10013,9
14,1,3.0,3.0,1.0,1,2030-05-19,1222,10014,5
15,1,5.5,5.5,2.0,1,2032-06-19,2677,10015,4
16,2,12.0,6.0,2.0,1,2030-05-14,8245,10016,19
17,3,6.0,2.0,0.5,1,2031-06-07,4350,10017,36
18,2,13.0,6.5,2.5,1,2032-07-18,6459,10018,21
19,3,12.0,4.0,1.5,1,2030-09-19,8749,10019,13
20,1,2.0,2.0,0.5,1,2031-04-04,8436,10020,26
21,3,10.5,3.5,1.0,1,2032-10-09,1675,10021,29
22,3,15.0,5.0,2.0,1,2030-07-13,5307,10022,22
23,1,5.0,5.0,2.0,1,2032-05-28,8577,10023,22
24,1,2.0,2.0,0.5,1,2030-12-31,9184,10024,6
25,3,19.5,6.5,2.5,1,2030-03-18,5373,10025,15
26,1,6.5,6.5,2.5,1,2030-04-14,6993,10026,27
27,2,13.0,6.5,2.5,1,2031-05-13,6779,10027,28
28,1,5.0,5.0,2.0,1,2030-06-06,375,10028,22
29,2,11.0,5.5,2.0,1,2031-07-17,4165,10029,17
30,3,18.0,6.0,2.0,1,2030-05-28,117,10030,8
31,1,3.0,3.0,1.0,1,2031-06-02,405,10031,5
32,3,6.0,2.0,0.5,1,2030-12-30,7593,10032,2
33,1,3.5,3.5,1.0,1,2030-12-20,1834,10033,29
34,2,13.0,6.5,2.5,1,2031-04-04,3781,10034,35
35,2,11.0,5.5,2.0,1,2032-10-13,6028,10035,25
36,1,2.0,2.0,0.5,1,2031-12-28,3832,10036,36
37,2,12.0,6.0,2.0,1,2030-03-10,8493,10037,8
38,2,4.0,2.0,0.5,1,2031-05-22,2469,10038,6
39,1,6.0,6.0,2.0,1,2030-11-18,3009,10039,9
40,1,2.5,2.5,1.0,1,2032-01-09,1888,10040,10
41,1,5.5,5.5,2.0,1,2031-10-31,9665,10041,17
42,2,4.0,2.0,0.5,1,2032-03-26,3218,10042,23
43,3,9.0,3.0,1.0,1,2030-08-20,7315,10043,5
44,1,3.0,3.0,1.0,1,2031-07-15,2225,10044,37
45,2,6.0,3.0,1.0,1,2031-02-06,1785,10045,14
46,2,5.0,2.5,1.0,1,2032-08-06,228,10046,10
47,1,6.0,6.0,2.0,1,2030-05-05,3240,10047,8
48,2,10.0,5.0,2.0,1,2032-10-26,2846,10048,22
49,3,9.0,3.0,1.0,1,2031-09-20,1097,10049,14
