Id,Celular,Responsavel,Email,Codigo,RazaoSocial,Telefone,CPF_CNPJ,NomeFantasia
1,(00)0000-0000,Vinicius,a@a.com.br,0,PARTICULAR,(00)0000-0000,00.000.000/0000-00,PARTICULAR
2,(00)0000-0000,Vinicius,a@a.com.br,0,Empresa001,(00)0000-0000,00.000.000/000-0,Empresa001
3,(00)0000-0000,Rafael,a@a.com.br,0,Empresa002,(00)0000-0000,00.000.000/000-0,Empresa002
4,(00)0000-0000,Vinicius,a@a.com.br,0,Empresa003,(00)0000-0000,00.000.000/000-0,Empresa003
5,(00)0000-0000,Maria,a@a.com.br,0,Empresa004,(00)0000-0000,00.000.000/000-0,Empresa004
6,(00)0000-0000,Juliana,a@a.com.br,0,Empresa005,(00)0000-0000,00.000.000/000-0,Empresa005
7,(00)0000-0000,Amanda,a@a.com.br,0,Empresa001,(00)0000-0000,00.000.000/000-0,Empresa001
8,(00)0000-0000,João,a@a.com.br,0,Empresa002,(00)0000-0000,00.000.000/000-0,Empresa002
9,(00)0000-0000,Bruno,a@a.com.br,0,Empresa003,(00)0000-0000,00.000.000/000-0,Empresa003
10,(00)0000-0000,João,a@a.com.br,0,Empresa004,(00)0000-0000,00.000.000/000-0,Empresa004
11,(00)0000-0000,Lucas,a@a.com.br,0,Empresa005,(00)0000-0000,00.000.000/000-0,Empresa005
12,(00)0000-0000,Maria,a@a.com.br,0,Empresa001,(00)0000-0000,00.000.000/000-0,Empresa001
13,(00)0000-0000,Fernanda,a@a.com.br,0,Empresa002,(00)0000-0000,00.000.000/000-0,Empresa002
14,(00)0000-0000,João,a@a.com.br,0,Empresa003,(00)0000-0000,00.000.000/000-0,Empresa003
15,(00)0000-0000,Maria,a@a.com.br,0,Empresa004,(00)0000-0000,00.000.000/000-0,Empresa004
16,(00)0000-0000,Amanda,a@a.com.br,0,Empresa005,(00)0000-0000,00.000.000/000-0,Empresa005
17,(00)0000-0000,Pedro,a@a.com.br,0,Empresa001,(00)0000-0000,00.000.000/000-0,Empresa001
18,(00)0000-0000,Ana,a@a.com.br,0,Empresa002,(00)0000-0000,00.000.000/000-0,Empresa002
19,(00)0000-0000,Lucas,a@a.com.br,0,Empresa003,(00)0000-0000,00.000.000/000-0,Empresa003
20,(00)0000-0000,Maria,a@a.com.br,0,Empresa004,(00)0000-0000,00.000.000/000-0,Empresa004
21,(00)0000-0000,João,a@a.com.br,0,Empresa005,(00)0000-0000,00.000.000/000-0,Empresa005
