Id,Obeservacao,QuantidadePessoas,Codigo,DataEntrada,DataSaida,QuantidadeDiaria,Desconto,ValorTotal,Sinal,ValorPago,Status,Tipo,ValorDiaria,Apartamento_Id,Cliente_Id,Movimentacao_Id,Reserva_Id
1,-,3,H0001,2032-12-06,2032-12-11,5,0.0,750.0,0.0,770.5,0,1,150.0,15,916,1,
2,-,2,H0002,2030-06-28,2030-06-30,2,0.0,200.0,0.0,207.5,0,1,100.0,27,1740,2,
3,-,3,H0003,2030-05-08,2030-05-09,1,0.0,150.0,0.0,167.5,0,1,150.0,74,1264,3,
4,-,3,H0004,2030-05-03,2030-05-07,4,0.0,600.0,0.0,600.0,0,1,150.0,36,900,4,
5,-,3,H0005,2030-10-23,2030-10-25,2,0.0,300.0,0.0,300.0,0,1,150.0,54,1953,5,
6,-,4,H0006,2030-12-26,2030-12-27,1,0.0,200.0,0.0,235.5,0,1,200.0,19,1438,6,
7,-,2,H0007,2030-03-27,2030-03-31,4,0.0,400.0,0.0,415.0,0,1,100.0,68,1899,7,
8,-,4,H0008,2031-09-08,2031-09-09,1,0.0,200.0,0.0,216.5,0,1,200.0,41,622,8,
9,-,2,H0009,2030-02-06,2030-02-09,3,0.0,300.0,0.0,304.0,0,1,100.0,62,1402,9,
10,-,3,H0010,2032-01-15,2032-01-17,2,0.0,300.0,0.0,325.5,0,1,150.0,11,1088,10,
11,-,3,H0011,2031-10-07,2031-10-08,1,0.0,150.0,0.0,159.0,0,1,150.0,14,1058,11,
12,-,3,H0012,2031-09-10,2031-09-13,3,0.0,450.0,0.0,485.0,0,1,150.0,34,1376,12,
13,-,3,H0013,2030-07-02,2030-07-06,4,0.0,600.0,0.0,627.0,0,1,150.0,12,1570,13,
14,-,3,H0014,2031-08-17,2031-08-18,1,0.0,150.0,0.0,150.0,0,1,150.0,77,1219,14,
15,-,2,H0015,2030-11-16,2030-11-17,1,0.0,100.0,0.0,100.0,0,1,100.0,4,1776,15,
16,-,2,H0016,2031-06-29,2031-07-01,2,0.0,200.0,0.0,206.5,0,1,100.0,3,1782,16,
17,-,4,H0017,2032-05-08,2032-05-09,1,0.0,200.0,0.0,200.0,0,1,200.0,20,733,17,
18,-,3,H0018,2031-12-03,2031-12-06,3,0.0,450.0,0.0,459.0,0,1,150.0,13,651,18,
19,-,2,H0019,2031-03-08,2031-03-11,3,0.0,300.0,0.0,306.0,0,1,100.0,29,946,19,
20,-,4,H0020,2030-03-03,2030-03-06,3,0.0,600.0,0.0,609.0,0,1,200.0,58,1561,20,
21,-,2,H0021,2030-01-05,2030-01-07,2,0.0,200.0,0.0,209.0,0,1,100.0,3,1182,21,
22,-,3,H0022,2030-05-15,2030-05-18,3,0.0,450.0,0.0,461.0,0,1,150.0,70,662,22,
23,-,3,H0023,2032-01-29,2032-02-02,4,0.0,600.0,0.0,604.0,0,1,150.0,35,1641,23,
24,-,2,H0024,2032-12-30,2033-01-01,2,0.0,200.0,0.0,211.0,0,1,100.0,5,1728,24,
25,-,3,H0025,2032-02-14,2032-02-15,1,0.0,150.0,0.0,162.0,0,1,150.0,14,695,25,
26,-,3,H0026,2032-12-14,2032-12-15,1,0.0,150.0,0.0,167.0,0,1,150.0,16,1925,26,
27,-,2,H0027,2030-05-22,2030-05-23,1,0.0,100.0,0.0,112.0,0,1,100.0,7,1868,27,
28,-,2,H0028,2031-01-27,2031-01-28,1,0.0,100.0,0.0,116.0,0,1,100.0,8,1286,28,
29,-,2,H0029,2032-01-11,2032-01-15,4,0.0,400.0,0.0,409.0,0,1,100.0,63,580,29,
30,-,2,H0030,2032-10-26,2032-10-27,1,0.0,100.0,0.0,100.0,0,1,100.0,43,252,30,
31,-,3,H0031,2032-07-11,2032-07-13,2,0.0,300.0,0.0,300.0,0,1,150.0,12,773,31,
32,-,3,H0032,2030-03-13,2030-03-16,3,0.0,450.0,0.0,452.5,0,1,150.0,56,189,32,
33,-,3,H0033,2030-06-15,2030-06-18,3,0.0,450.0,0.0,471.5,0,1,150.0,50,318,33,
34,-,2,H0034,2031-09-19,2031-09-20,1,0.0,100.0,0.0,107.5,0,1,100.0,2,1798,34,
